"Year","Property_Name","Portfolio_Manager_ID","Street_Address","City","Province","Postal_Code","Country","Property_Type_Raw","GFA_sqft","Weekly_Operating_Hours","Electric_Grid_kWh","Natural_Gas_m3","Total_Energy_ekWh","EUI_ekWh_sqft","Total_GHG_kg","GHG_Intensity_kg_sqft"
2017,"#11 Police Division - NEW",35000256,"2054 Davenport Rd","Toronto","Ontario","M6N 1C8","Canada","Police stations and associated offices and facilities",62000,168,1123908.182613,35006.923864,1497782.12948052,24.1577762819439,88602.556212391,1.42907348729663
2017,"#55 Police Division",35000272,"101 Coxwell Ave","Toronto","Ontario","M4L 3B3","Canada","Police stations and associated offices and facilities",23519,168,553936.11775,13229.038676,695222.25080968,29.5600259709035,35937.769533846,1.52803135906484
2017,"55 John St LED Ltg",34999123,"55 John St","Toronto","Ontario","M5V 3C6","Canada","Other",2500,168,3809644.801697,0,3809644.801697,1523.8579206788,72383.251232243,28.9533004928972
2017,"55 John St Ltg Beacon",34999123,"55 John St","Toronto","Ontario","M5V3C6","Canada","Other",250,168,477143.9884,0,477143.9884,1908.5759536,9065.7357796,36.2629431184
2017,"Annette R.C",34999449,"333 Annette St","Toronto","Ontario","M6P 1R3","Canada","Community centres",20774,100,356478.09547,0,356478.09547,17.1598197492057,6773.08381393,0.326036575234909
2017,"Annette Street",35000296,"145 Annette St.","Toronto","Ontario","M6P 1P3","Canada","Public libraries",7804,70,169948.244585,7814.298388,253404.95136884,32.4711623999026,18240.283850463,2.33729931451346
2017,"Archives and Records Centre",34999102,"255 Spadina Rd","Toronto","Ontario","M5R 2V3","Canada","Administrative offices and related facilities, including municipal council chambers",39590,70,480158.208258,46939.289277,981469.81773636,24.7908516730578,99293.380658019,2.50804194640109
2017,"Atlantic Ave Storage Bldg",34999103,"98 Atlantic Ave","Toronto","Ontario","M6K 1X9","Canada","Administrative offices and related facilities, including municipal council chambers",43002,70,105617.726288,26977.436363,393736.74664484,9.1562426548728,53830.392052795,1.25181135883901
2017,"Beaches",35000299,"2161 Queen St. E.","Toronto","Ontario","M4L 1J1","Canada","Public libraries",7804,70,113923.956437,10548.916136,226586.38076948,29.0346464338134,22429.023069559,2.87404191050218
2017,"Beaches R.C",34999451,"6 Williamson Rd","Toronto","Ontario","M4E 1K5","Canada","Indoor recreational facilities",14445,100,161322.837759,0,161322.837759,11.168074611215,3065.133917421,0.212193417613084
2017,"Central Services Office",34999107,"329 Chaplin Cres.","Toronto","Ontario","M5N 2M9","Canada","Administrative offices and related facilities, including municipal council chambers",18299,70,181378.16795,21082.354917,406537.71846356,22.2163898827018,43945.388986607,2.40151860684229
2017,"City Hall",34999109,"100 Queen St W","Toronto","Ontario","M5H 2N1","Canada","Administrative offices and related facilities, including municipal council chambers",780061,70,13448190.390591,0,13448190.390591,17.2399214812572,255515.617421229,0.327558508143887
2017,"City Hall Eternal Flame",34999109,"100 Queen St W","Toronto","Ontario","M5H 2N1","Canada","Other",1,168,0,9830.16129,104986.1225772,104986.1225772,18883.73983809,18883.73983809
2017,"Danforth Coxwell",35000310,"1675 Danforth Ave.","Toronto","Ontario","M4C 5P2","Canada","Public libraries",9612,70,106006.322594,9829.566667,210986.09459756,21.9502803368248,20896.717696593,2.17402389685737
2017,"Davenport",35000311,"1246 Shaw St.","Toronto","Ontario","M6G 3P1","Canada","Public libraries",3606,100,81104.791063,0,81104.791063,22.4916225909595,1540.991030197,0.427340829228231
2017,"Davenport C.C",34999201,"1347 Davenport Rd","Toronto","Ontario","M6H 2H5","Canada","Community centres",2282,100,8260.675626,3775.388508,48581.82489144,21.2891432477826,7409.474160762,3.24692119227082
2017,"Deer Park",35000313,"40 St. Clair Ave. E.","Toronto","Ontario","M4T 1M9","Canada","Public libraries",16576,70,356160.543212,27183.790413,646483.42482284,39.0011718643123,58987.111704401,3.55858540687747
